Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,169,211,247,270,357,421,477,374,382
Expenses+,117,155,183,191,296,333,381,266,270
Operating Profit,52,56,63,79,61,88,96,108,112
OPM %,31%,27%,26%,29%,17%,21%,20%,29%,29%
Other Income+,52,-2,-7,-4,2,8,13,-27,-26
Interest,11,10,9,7,4,4,5,7,8
Depreciation,12,12,13,15,15,17,20,22,23
Profit before tax,81,31,34,53,45,74,84,52,55
Tax %,0%,0%,0%,59%,28%,26%,27%,27%,
Net Profit+,81,31,34,22,33,55,61,38,40
EPS in Rs,15.58,6.04,6.50,3.51,5.24,8.45,8.53,5.29,5.53
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
