Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,190,212,204,271,358,410,415,407
Expenses+,158,170,152,214,277,314,333,325
Operating Profit,32,43,51,57,82,96,82,82
OPM %,17%,20%,25%,21%,23%,23%,20%,20%
Other Income+,0,-1,4,4,9,6,10,17
Interest,6,8,8,12,21,24,30,30
Depreciation,8,11,16,16,19,25,30,31
Profit before tax,17,22,30,33,51,53,33,38
Tax %,44%,23%,22%,27%,27%,26%,27%,
Net Profit+,10,17,23,24,37,39,24,28
EPS in Rs,9.50,15.74,21.79,22.18,34.72,36.54,22.02,25.18
Dividend Payout %,0%,6%,5%,5%,4%,4%,0%,
