Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,477,495,492,528,584,656,623,633,921,848,823,702,685
Expenses+,373,395,399,423,471,531,517,507,650,672,713,597,589
Operating Profit,104,100,93,105,113,125,106,126,271,176,111,105,96
OPM %,22%,20%,19%,20%,19%,19%,17%,20%,29%,21%,13%,15%,14%
Other Income+,0,1,2,1,1,1,1,0,5,14,23,27,23
Interest,13,7,6,4,6,10,10,7,2,7,20,18,15
Depreciation,32,29,30,29,29,29,28,29,29,30,28,22,22
Profit before tax,60,64,59,72,80,87,69,90,244,152,85,91,83
Tax %,19%,20%,25%,23%,23%,27%,24%,25%,26%,27%,26%,28%,
Net Profit+,48,51,44,56,61,63,52,68,180,112,63,66,60
EPS in Rs,81.94,87.11,75.68,97.36,106.67,110.36,91.28,118.69,314.22,195.44,109.99,114.83,105.03
Dividend Payout %,15%,16%,20%,0%,33%,27%,16%,30%,11%,18%,32%,32%,
