Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,495,428,427,430,568,582,600,584,640,614,649,601,689
Expenses+,447,398,399,404,519,532,543,531,587,561,602,548,638
Operating Profit,48,30,28,27,48,50,57,53,53,54,46,52,51
OPM %,10%,7%,7%,6%,8%,9%,10%,9%,8%,9%,7%,9%,7%
Other Income+,1,13,4,-3,-2,16,4,6,2,3,6,18,2
Interest,7,6,3,8,12,15,9,10,14,5,13,19,13
Depreciation,9,10,8,11,14,15,15,15,15,15,15,15,16
Profit before tax,33,27,22,5,21,37,38,34,26,36,24,36,23
Tax %,28%,-32%,50%,82%,33%,26%,25%,2%,32%,33%,32%,21%,31%
Net Profit+,24,36,11,1,14,27,28,33,18,24,17,28,16
EPS in Rs,1.92,2.93,0.90,0.07,1.13,2.17,2.29,2.67,1.42,1.96,1.32,2.28,1.28
Raw PDF,,,,,,,,,,,,,
