Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,443,543,400,581,844,928,"1,234","1,589","2,535","2,265","2,350"
Expenses+,469,547,435,516,753,839,"1,082","1,327","2,140","1,859","1,918"
Operating Profit,-27,-4,-35,65,91,89,152,262,396,406,432
OPM %,-6%,-1%,-9%,11%,11%,10%,12%,16%,16%,18%,18%
Other Income+,4,6,13,5,7,8,7,11,113,215,195
Interest,97,119,134,165,200,216,253,313,298,352,372
Depreciation,20,26,33,23,23,23,33,58,75,79,85
Profit before tax,-140,-143,-189,-118,-126,-141,-127,-97,136,190,169
Tax %,-18%,-21%,-17%,-4%,8%,-4%,1%,10%,33%,24%,
Net Profit+,-114,-113,-157,-114,-136,-135,-129,-107,91,145,117
EPS in Rs,"-4,440.00",-43.13,-61.00,-43.01,-52.89,-58.64,-55.96,-49.67,13.78,20.38,12.30
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
