Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,66,75,58,62,64,61,46,47,57,94,102,101,112
Expenses+,54,63,45,53,55,52,39,40,51,86,93,91,101
Operating Profit,11,12,13,9,9,9,7,7,6,8,9,10,11
OPM %,17%,16%,22%,14%,15%,14%,16%,14%,11%,8%,9%,10%,10%
Other Income+,0,1,1,1,1,0,0,0,0,0,0,0,1
Interest,2,3,4,3,4,4,3,4,3,3,2,2,2
Depreciation,4,5,7,6,5,3,1,1,1,1,1,1,1
Profit before tax,5,6,4,1,1,2,3,2,3,4,6,8,8
Tax %,33%,27%,38%,40%,29%,29%,25%,25%,33%,19%,25%,28%,
Net Profit+,4,4,2,0,1,2,2,2,2,3,5,5,6
EPS in Rs,3.06,3.63,1.94,0.34,0.86,1.32,2.06,1.49,1.46,2.95,3.86,4.66,5.04
Dividend Payout %,0%,0%,51%,0%,58%,0%,0%,0%,0%,0%,0%,0%,
