Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales+,0,599,877,"1,021","1,625","1,783","1,567"
Expenses+,0,522,738,814,"1,192","1,364","1,320"
Operating Profit,-0,77,138,207,433,419,247
OPM %,,13%,16%,20%,27%,24%,16%
Other Income+,0,13,-9,-0,6,23,21
Interest,0,25,48,37,17,19,12
Depreciation,0,53,69,69,73,72,73
Profit before tax,-0,12,12,101,349,351,183
Tax %,0%,-179%,-23%,32%,31%,27%,22%
Net Profit+,-0,35,14,69,240,257,143
EPS in Rs,,,1.18,5.61,19.61,20.92,11.64
Dividend Payout %,0%,0%,0%,0%,8%,7%,13%
