Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,413,340,296,380,357,323,369,257,311,258,259,263,294
Expenses+,225,98,100,106,133,107,107,93,87,87,84,94,108
Operating Profit,188,242,195,274,224,216,262,164,224,171,175,169,186
OPM %,46%,71%,66%,72%,63%,67%,71%,64%,72%,66%,68%,64%,63%
Other Income+,9,-83,-158,-6,42,42,3,8,22,53,26,30,37
Interest,266,262,225,225,211,193,154,138,122,108,80,72,65
Depreciation,143,143,153,137,124,114,92,91,89,83,82,84,85
Profit before tax,-212,-245,-341,-93,-69,-49,20,-57,36,33,39,43,73
Tax %,-2%,-1%,-0%,3%,3%,0%,0%,0%,0%,0%,1%,3%,
Net Profit+,-208,-244,-340,-96,-71,-49,20,-57,36,33,38,42,72
EPS in Rs,-2.11,-2.62,-2.91,-0.81,-0.62,-0.42,0.20,-0.49,0.30,0.28,0.31,0.33,0.60
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
