Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"38,680","35,885","33,207","32,789","32,986","34,698","32,756","34,738","33,889","36,835","36,442","35,311","35,537"
Expenses+,"36,777","35,403","32,651","30,128","29,405","30,490","28,908","29,948","29,952","33,665","32,907","31,642","32,077"
Operating Profit,"1,904",482,556,"2,660","3,580","4,208","3,849","4,790","3,937","3,169","3,535","3,669","3,460"
OPM %,5%,1%,2%,8%,11%,12%,12%,14%,12%,9%,10%,10%,10%
Other Income+,548,999,871,529,595,915,651,685,643,"3,211",672,566,516
Interest,82,120,107,185,200,176,159,209,188,169,182,213,234
Depreciation,695,699,631,722,837,872,"1,241","1,152",922,939,786,993,"1,177"
Profit before tax,"1,675",662,689,"2,283","3,138","4,075","3,099","4,114","3,470","5,272","3,240","3,029","2,565"
Tax %,22%,40%,7%,21%,22%,22%,20%,23%,22%,23%,23%,21%,22%
Net Profit+,"1,305",398,643,"1,793","2,442","3,193","2,474","3,183","2,690","4,084","2,506","2,382","1,989"
EPS in Rs,2.00,0.63,0.96,2.73,3.72,4.86,3.75,4.84,4.10,6.21,3.79,3.60,3.00
Raw PDF,,,,,,,,,,,,,
