Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,118",999,"1,010","1,086","1,101","1,161","1,090","1,269","1,219","1,270","1,334","1,338","1,370"
Expenses+,"1,049",969,984,"1,055","1,038","1,103","1,048","1,190","1,154","1,186","1,278","1,277","1,272"
Operating Profit,70,30,26,30,63,58,42,79,66,83,56,62,98
OPM %,6%,3%,3%,3%,6%,5%,4%,6%,5%,7%,4%,5%,7%
Other Income+,5,4,9,8,6,7,11,7,13,4,11,10,7
Interest,7,7,8,7,7,7,7,5,4,8,7,6,5
Depreciation,29,30,34,30,30,32,32,30,31,38,34,31,30
Profit before tax,38,-3,-6,1,31,26,15,51,43,42,27,35,70
Tax %,37%,-66%,72%,211%,31%,34%,19%,27%,27%,26%,29%,25%,27%
Net Profit+,24,-1,-10,-1,22,17,12,38,31,31,19,26,51
EPS in Rs,5.95,-0.28,-2.45,-0.15,5.31,4.31,2.96,9.26,7.75,7.67,4.66,6.46,12.53
Raw PDF,,,,,,,,,,,,,
