Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,748,860,684,833,"1,429","2,249","2,562","2,371"
Expenses+,243,543,369,417,658,772,"1,880","1,924"
Operating Profit,505,318,315,416,771,"1,477",682,447
OPM %,68%,37%,46%,50%,54%,66%,27%,19%
Other Income+,2,6,12,10,17,6,2,3
Interest,234,291,299,340,549,866,930,880
Depreciation,3,14,19,21,27,35,43,44
Profit before tax,271,20,9,65,213,582,-289,-474
Tax %,26%,8%,22%,27%,23%,23%,-23%,
Net Profit+,201,18,7,47,164,450,-223,-361
EPS in Rs,17.63,1.59,0.62,4.15,14.03,26.37,-13.05,-21.16
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
