Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,262,399,251,367,565,957,"1,077","1,090"
Expenses+,239,423,244,334,479,766,843,858
Operating Profit,23,-24,7,32,87,191,234,232
OPM %,9%,-6%,3%,9%,15%,20%,22%,21%
Other Income+,11,59,13,16,20,42,76,79
Interest,4,10,9,7,3,3,3,1
Depreciation,20,43,36,30,36,41,35,34
Profit before tax,9,-18,-25,11,67,189,272,275
Tax %,-16%,13%,16%,22%,-2%,23%,23%,
Net Profit+,11,-20,-29,8,68,145,209,210
EPS in Rs,168.40,-306.87,-436.20,0.78,6.31,12.34,17.70,17.83
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
