Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,226,327,500,642,603,490,360,387,660,687,812,"1,049","1,117"
Expenses+,209,311,486,612,640,491,361,404,643,670,785,"1,015","1,084"
Operating Profit,17,16,15,30,-37,-1,-1,-17,16,17,26,34,33
OPM %,7%,5%,3%,5%,-6%,-0%,-0%,-4%,2%,2%,3%,3%,3%
Other Income+,8,5,5,21,33,29,27,311,58,62,57,47,35
Interest,15,23,41,58,60,65,64,62,32,34,35,36,37
Depreciation,7,10,21,29,27,33,33,36,33,32,27,20,20
Profit before tax,2,-12,-41,-36,-91,-70,-71,197,9,13,21,25,11
Tax %,32%,-29%,-3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,1,-9,-40,-36,-91,-70,-71,196,9,13,21,25,11
EPS in Rs,0.52,-4.12,-18.93,-14.69,-35.40,-28.74,-29.03,60.75,2.91,4.03,6.49,7.69,3.56
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
