Metric,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,13.86,32.97,40.23,40.94,46.05,60.90,70.23,70.91,80.96,77.85
Expenses+,14.12,32.65,39.26,40.04,45.03,58.57,67.32,68.57,81.11,79.17
Operating Profit,-0.26,0.32,0.97,0.90,1.02,2.33,2.91,2.34,-0.15,-1.32
OPM %,-1.88%,0.97%,2.41%,2.20%,2.21%,3.83%,4.14%,3.30%,-0.19%,-1.70%
Other Income+,0.95,1.50,2.12,2.41,3.08,3.04,2.57,3.22,6.52,7.55
Interest,0.22,1.60,1.59,1.71,1.16,1.39,2.01,1.83,1.89,2.02
Depreciation,0.27,1.38,1.39,1.40,1.34,2.23,1.90,1.85,1.81,1.83
Profit before tax,0.20,-1.16,0.11,0.20,1.60,1.75,1.57,1.88,2.67,2.38
Tax %,50.00%,-6.90%,-54.55%,45.00%,30.62%,5.71%,26.75%,27.13%,37.08%,
Net Profit+,0.10,-1.08,0.17,0.11,1.11,1.65,1.16,1.37,1.68,1.52
EPS in Rs,0.18,-1.10,0.17,0.03,0.23,0.25,0.17,0.16,0.19,0.16
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
