Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,53,63,97,88,158,303,262,243,257,303,267,207,215
Expenses+,46,56,87,79,112,237,192,162,175,232,240,174,182
Operating Profit,6,8,10,9,46,66,70,81,82,71,27,33,33
OPM %,12%,12%,10%,10%,29%,22%,27%,33%,32%,23%,10%,16%,15%
Other Income+,0,-1,0,0,0,2,4,5,9,13,13,14,14
Interest,2,2,3,2,3,4,5,4,1,1,4,3,3
Depreciation,1,2,2,2,2,3,5,6,6,8,10,11,11
Profit before tax,3,3,5,5,41,61,65,76,84,74,26,33,34
Tax %,60%,3%,35%,37%,35%,30%,25%,26%,25%,26%,27%,26%,
Net Profit+,1,3,3,3,26,43,49,56,63,55,19,24,25
EPS in Rs,1.46,3.35,4.09,3.78,33.21,13.54,15.37,15.40,17.13,15.04,5.24,6.67,6.96
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,27%,0%,0%,
