Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,636,459,717,521,639,451,708,535,677,553,818,604,779
Expenses+,571,427,675,492,584,417,632,491,613,503,741,569,735
Operating Profit,65,33,42,28,55,34,76,45,65,50,77,35,44
OPM %,10%,7%,6%,5%,9%,8%,11%,8%,10%,9%,9%,6%,6%
Other Income+,3,3,10,5,4,3,9,10,14,4,2,9,5
Interest,6,7,6,6,5,5,4,4,5,5,6,7,10
Depreciation,5,5,5,6,6,6,4,6,6,6,7,7,7
Profit before tax,56,24,41,21,48,26,76,45,68,43,66,30,31
Tax %,27%,31%,27%,29%,25%,26%,28%,26%,24%,26%,27%,24%,27%
Net Profit+,41,17,30,15,36,19,55,33,52,32,48,23,23
EPS in Rs,13.97,6.01,10.38,5.55,12.33,6.72,18.47,11.30,17.02,10.66,15.99,7.84,7.80
Raw PDF,,,,,,,,,,,,,
