Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,747,728,801,"1,138","1,423","1,446","1,527","2,289","2,650","2,983","3,677","3,768"
Expenses+,712,693,750,"1,069","1,356","1,386","1,465","2,179","2,540","2,864","3,521","3,606"
Operating Profit,35,35,51,69,67,60,62,110,109,120,156,162
OPM %,5%,5%,6%,6%,5%,4%,4%,5%,4%,4%,4%,4%
Other Income+,2,2,2,3,4,4,3,8,7,15,18,18
Interest,15,14,11,18,30,29,26,28,34,41,55,58
Depreciation,7,8,8,11,16,19,18,18,18,20,22,25
Profit before tax,15,15,34,43,25,17,21,73,64,75,97,97
Tax %,35%,35%,34%,36%,35%,13%,26%,25%,27%,27%,28%,
Net Profit+,10,10,22,28,16,15,16,54,47,55,70,70
EPS in Rs,2.24,2.19,5.01,6.18,3.55,3.28,3.39,11.86,10.20,12.75,15.93,15.14
Dividend Payout %,22%,17%,12%,10%,18%,8%,15%,21%,24%,20%,16%,
