Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,87.51,77.23,58.49,54.25,58.37,22.43,22.85,28.37,30.97
Expenses+,73.04,61.09,48.39,39.86,43.90,19.58,16.79,22.51,24.65
Operating Profit,14.47,16.14,10.10,14.39,14.47,2.85,6.06,5.86,6.32
OPM %,16.54%,20.90%,17.27%,26.53%,24.79%,12.71%,26.52%,20.66%,20.41%
Other Income+,0.48,6.22,3.99,1.70,2.04,-301.76,19.69,3.29,2.54
Interest,5.25,5.94,4.90,1.94,1.59,2.20,1.03,0.15,0.07
Depreciation,2.24,0.96,0.98,1.44,1.23,2.42,4.07,3.83,3.82
Profit before tax,7.46,15.46,8.21,12.71,13.69,-303.53,20.65,5.17,4.97
Tax %,3.62%,20.50%,15.59%,12.67%,19.87%,-1.45%,4.50%,36.36%,
Net Profit+,7.18,12.29,6.94,11.10,10.96,-299.13,19.72,3.29,3.04
EPS in Rs,,10.40,5.87,9.39,9.28,-253.15,13.58,2.27,2.09
Dividend Payout %,0.00%,4.81%,0.00%,0.00%,5.39%,0.00%,0.00%,0.00%,
