Metric,Mar 2011,Sep 201218m,Sep 2013,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Sales+,888,"1,163",153,108,109,85,75,69,66,63,65,52
Expenses+,683,"1,117",235,156,97,75,61,85,59,57,60,50
Operating Profit,205,46,-82,-48,12,10,14,-16,7,6,6,2
OPM %,23%,4%,-53%,-44%,11%,12%,19%,-24%,11%,9%,9%,4%
Other Income+,9,34,63,62,19,-3,2,0,3,0,0,460
Interest,61,73,51,70,56,52,52,52,52,52,52,26
Depreciation,54,73,53,57,11,6,6,5,5,4,4,4
Profit before tax,100,-67,-122,-113,-36,-51,-42,-74,-47,-50,-51,432
Tax %,-10%,6%,-37%,-13%,-6%,-1%,-1%,-10%,9%,-2%,-1%,5%
Net Profit+,110,-71,-77,-99,-33,-51,-42,-66,-51,-49,-50,412
EPS in Rs,32.30,-20.96,-22.51,-28.98,-9.83,-14.98,-12.29,-19.48,-15.06,-14.46,-14.77,13.54
Dividend Payout %,3%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%
