Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,503,688,536,504,611,742,681,634,687
Expenses+,472,667,517,465,558,718,644,619,664
Operating Profit,32,20,19,39,53,24,37,15,22
OPM %,6%,3%,4%,8%,9%,3%,6%,2%,3%
Other Income+,2,4,3,7,8,7,16,12,11
Interest,4,3,2,2,2,4,8,8,10
Depreciation,8,6,9,10,11,10,7,6,7
Profit before tax,22,16,11,34,49,17,38,12,17
Tax %,30%,48%,18%,23%,28%,29%,25%,19%,
Net Profit+,16,8,9,27,35,12,28,10,15
EPS in Rs,2.38,1.27,1.31,4.05,5.39,1.86,4.33,1.49,2.23
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
