Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,461,462,480,659,952,914,"1,025","1,095"
Expenses+,380,382,380,556,797,730,840,897
Operating Profit,80,80,99,104,155,184,185,198
OPM %,17%,17%,21%,16%,16%,20%,18%,18%
Other Income+,1,-14,1,8,1,6,8,5
Interest,11,11,6,8,8,3,4,9
Depreciation,18,21,23,23,20,22,24,22
Profit before tax,52,33,71,81,128,164,165,172
Tax %,25%,44%,22%,24%,25%,22%,26%,
Net Profit+,39,19,55,61,96,128,122,125
EPS in Rs,23.82,11.03,32.61,35.93,56.63,75.78,71.91,73.75
Dividend Payout %,0%,0%,0%,7%,0%,3%,0%,
