Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,014","1,010","1,072","1,089","1,120","1,044","1,105","1,133","1,158","1,124","1,180","1,229","1,151"
Expenses+,799,821,902,880,934,880,927,951,945,949,983,"1,036",963
Operating Profit,215,188,170,209,186,163,178,181,213,175,197,192,188
OPM %,21%,19%,16%,19%,17%,16%,16%,16%,18%,16%,17%,16%,16%
Other Income+,9,7,9,7,8,2,2,5,7,46,9,11,11
Interest,26,27,26,34,34,34,33,32,31,32,33,59,59
Depreciation,40,39,41,41,43,46,48,47,48,49,49,68,69
Profit before tax,159,129,112,141,117,85,100,107,141,140,124,76,71
Tax %,34%,36%,39%,27%,26%,26%,27%,28%,33%,26%,26%,28%,18%
Net Profit+,104,83,68,103,86,63,73,77,95,105,92,55,58
EPS in Rs,4.33,3.45,2.84,4.27,3.57,2.61,3.04,3.21,3.93,4.34,3.80,2.31,2.22
Raw PDF,,,,,,,,,,,,,
