Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,135,149,152,200,281,379,463,483
Expenses+,110,119,101,114,164,225,287,296
Operating Profit,26,29,51,86,118,155,176,188
OPM %,19%,20%,34%,43%,42%,41%,38%,39%
Other Income+,28,15,40,42,34,38,52,56
Interest,3,3,3,2,3,3,3,3
Depreciation,9,10,10,8,10,15,20,22
Profit before tax,42,32,79,117,139,175,206,219
Tax %,20%,27%,24%,26%,23%,23%,28%,
Net Profit+,34,23,60,87,108,134,148,158
EPS in Rs,87.59,60.53,156.07,16.34,19.99,24.77,27.05,28.94
Dividend Payout %,0%,0%,0%,12%,25%,14%,13%,
