Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,37,31,37,37,32,39,49,51,53,58,60,50,56
Expenses+,26,20,24,26,22,28,25,30,33,32,33,30,33
Operating Profit,11,10,13,11,10,12,24,20,20,26,27,20,23
OPM %,30%,34%,36%,30%,31%,30%,49%,40%,37%,46%,45%,39%,42%
Other Income+,59,2,-9,3,48,2,2,2,66,4,3,4,65
Interest,0,0,0,0,0,0,0,0,1,1,1,1,1
Depreciation,2,2,2,2,2,3,1,2,3,3,3,3,3
Profit before tax,68,11,3,12,56,11,24,19,82,27,27,20,85
Tax %,10%,2%,-55%,14%,8%,9%,12%,10%,6%,5%,12%,10%,10%
Net Profit+,115,46,48,44,91,61,72,56,121,65,68,62,128
EPS in Rs,4.49,1.78,1.88,1.73,3.53,2.39,2.81,2.17,4.71,2.55,2.67,2.40,5.00
Raw PDF,,,,,,,,,,,,,
