Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,161,157,89,87,84,131,127,69,85,92,93,101,101
Expenses+,131,126,-10,72,79,90,73,44,42,42,55,60,62
Operating Profit,29,31,99,15,5,42,54,25,44,50,38,41,39
OPM %,18%,20%,111%,17%,6%,32%,43%,36%,51%,54%,41%,41%,39%
Other Income+,6,9,26,30,35,18,68,-3,-19,-10,-4,63,-11
Interest,80,75,56,44,25,20,30,22,21,20,16,12,14
Depreciation,29,42,32,27,26,26,52,39,19,18,14,14,19
Profit before tax,-73,-77,37,-26,-10,13,39,-39,-15,1,4,78,-4
Tax %,-0%,1%,-178%,3%,40%,24%,24%,-20%,82%,749%,310%,17%,
Net Profit+,-76,-78,104,-27,-15,10,30,-31,-28,-9,-8,65,-16
EPS in Rs,-13.67,-13.98,18.44,-4.79,-2.60,1.76,5.16,-5.37,-4.91,-1.57,-1.08,10.89,-2.40
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
