Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,215,198,189,111,116,101,45,57,56,75,65,45
Expenses+,102,93,96,85,83,74,68,48,42,57,51,32
Operating Profit,112,105,93,26,32,27,-23,8,14,18,14,13
OPM %,52%,53%,49%,24%,28%,27%,-51%,15%,26%,24%,22%,29%
Other Income+,8,11,2,4,6,-26,4,2,1,4,1,2
Interest,1,0,0,0,0,0,0,0,0,0,0,0
Depreciation,19,19,20,17,12,9,1,0,0,0,0,0
Profit before tax,101,97,75,14,27,-8,-20,10,15,22,16,15
Tax %,28%,24%,25%,51%,34%,74%,-1%,3%,14%,21%,23%,3%
Net Profit+,73,73,56,7,18,-14,-20,10,13,17,12,14
EPS in Rs,2.31,2.33,1.79,0.20,0.49,-0.48,-0.44,0.25,0.25,0.38,0.32,0.42
Dividend Payout %,56%,56%,67%,307%,124%,-63%,-136%,120%,161%,210%,217%,67%
