Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,67,98,103,101,101,105,120,123,131,155,167,200,221
Expenses+,47,58,61,58,63,65,82,73,73,88,111,118,129
Operating Profit,19,40,42,43,39,40,38,51,57,67,57,82,92
OPM %,29%,41%,41%,42%,38%,38%,32%,41%,44%,43%,34%,41%,41%
Other Income+,10,2,50,7,10,9,12,11,7,9,-245,13,21
Interest,0,1,3,2,1,3,3,3,3,3,3,4,7
Depreciation,6,8,9,9,9,9,7,10,10,10,11,13,15
Profit before tax,22,33,80,39,38,37,40,49,51,62,-202,78,91
Tax %,25%,24%,10%,20%,22%,25%,7%,21%,19%,23%,2%,21%,22%
Net Profit+,17,25,72,31,30,28,37,39,42,48,-207,62,71
EPS in Rs,2.59,3.85,11.29,4.88,4.59,4.25,5.64,5.79,6.00,6.81,-32.68,9.19,10.53
Raw PDF,,,,,,,,,,,,,
