Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,591,789,894,"1,126","1,999","2,937","3,629","3,740","3,813","4,016"
Expenses+,550,756,818,"1,099","1,688","2,578","3,293","3,486","3,651","3,835"
Operating Profit,41,33,76,27,311,358,336,254,162,181
OPM %,7%,4%,9%,2%,16%,12%,9%,7%,4%,5%
Other Income+,20,39,26,23,39,31,23,71,46,52
Interest,1,2,3,5,9,19,35,38,28,23
Depreciation,9,10,14,19,21,21,21,23,24,25
Profit before tax,51,61,85,26,320,348,303,264,156,185
Tax %,27%,22%,27%,34%,26%,25%,25%,24%,27%,
Net Profit+,37,47,62,17,237,260,226,201,113,138
EPS in Rs,,6.50,8.49,2.37,33.69,37.70,32.66,29.05,16.38,20.06
Dividend Payout %,29%,28%,27%,42%,9%,13%,12%,14%,24%,
