Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,478,404,549,411,392,438,574,492,571,624,606,540,573
Expenses+,416,361,492,368,357,387,518,446,522,574,557,500,543
Operating Profit,61,43,57,42,35,51,56,47,48,51,49,40,31
OPM %,13%,11%,10%,10%,9%,12%,10%,9%,8%,8%,8%,7%,5%
Other Income+,1,2,0,0,0,1,1,1,1,0,0,3,2
Interest,13,14,13,15,11,15,9,15,16,17,12,15,11
Depreciation,8,9,9,8,8,8,8,9,9,9,7,5,4
Profit before tax,41,22,36,19,16,28,39,24,24,25,30,23,17
Tax %,20%,32%,25%,29%,22%,25%,28%,26%,27%,26%,28%,23%,30%
Net Profit+,33,15,27,14,13,21,28,18,17,18,22,17,12
EPS in Rs,0.33,0.15,0.26,0.14,0.13,0.21,0.28,0.18,0.17,0.18,0.22,0.17,0.12
Raw PDF,,,,,,,,,,,,,
