Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,877","3,090","3,347","3,891","4,123","5,514","6,367","7,143","8,184","11,174","14,756","15,262","15,771"
Expenses+,"2,190","2,394","2,957","2,912","3,294","4,121","4,792","5,562","6,391","8,762","11,540","12,008","12,506"
Operating Profit,687,696,390,980,829,"1,394","1,575","1,581","1,793","2,412","3,216","3,254","3,264"
OPM %,24%,23%,12%,25%,20%,25%,25%,22%,22%,22%,22%,21%,21%
Other Income+,56,158,639,173,228,340,228,260,72,18,853,"1,217",248
Interest,2,9,29,26,62,71,65,58,68,419,974,897,938
Depreciation,204,221,249,277,385,448,552,715,814,"1,113","1,569","1,687","1,737"
Profit before tax,538,624,751,850,610,"1,215","1,186","1,068",983,897,"1,525","1,887",838
Tax %,20%,15%,19%,19%,26%,17%,27%,21%,22%,28%,15%,24%,
Net Profit+,431,528,609,688,453,"1,003",871,846,772,643,"1,298","1,429",657
EPS in Rs,3.45,4.14,4.59,5.10,3.10,7.54,6.24,6.17,5.40,3.85,8.52,8.44,3.18
Dividend Payout %,24%,20%,18%,10%,16%,7%,0%,0%,9%,39%,6%,6%,
