Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,858,642,835,"1,055","1,060",609,685,808,"1,201","2,442","3,632"
Expenses+,734,556,741,943,903,505,625,730,"1,065","1,972","2,910"
Operating Profit,124,87,94,113,157,103,60,79,136,470,723
OPM %,14%,13%,11%,11%,15%,17%,9%,10%,11%,19%,20%
Other Income+,28,30,54,10,14,44,59,14,80,88,68
Interest,29,25,23,34,33,24,26,29,58,116,144
Depreciation,14,15,17,19,22,22,20,19,21,35,46
Profit before tax,109,77,108,70,117,101,73,45,137,407,601
Tax %,19%,16%,22%,29%,37%,31%,20%,34%,26%,26%,
Net Profit+,89,65,85,48,73,69,57,29,87,311,460
EPS in Rs,3.47,2.51,3.29,1.86,2.82,2.67,2.23,1.12,2.85,10.25,15.14
Dividend Payout %,6%,16%,11%,28%,3%,17%,10%,60%,19%,22%,
