Metric,Mar 20151m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,681,717,739,916,952,995,953,"1,097","1,322","1,296"
Expenses+,0,0,520,654,638,761,837,870,822,883,"1,111","1,101"
Operating Profit,0,-0,160,64,101,155,115,125,131,213,211,195
OPM %,,,24%,9%,14%,17%,12%,13%,14%,19%,16%,15%
Other Income+,0,0,2,8,6,19,2,3,2,1,3,3
Interest,0,0,41,43,35,48,55,40,30,33,38,38
Depreciation,0,0,20,19,18,18,19,21,25,25,27,28
Profit before tax,0,-0,102,10,54,108,42,66,77,157,148,132
Tax %,,0%,43%,-145%,36%,23%,36%,31%,35%,26%,26%,
Net Profit+,0,-0,58,25,34,83,27,46,50,116,109,98
EPS in Rs,,,41.02,17.67,24.27,58.93,19.22,32.66,35.67,82.61,77.67,69.73
Dividend Payout %,,0%,3%,4%,6%,7%,21%,20%,20%,18%,16%,
