Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,485,610,638,677,774,932,929,731,"1,266","1,418","1,872","1,902","2,071"
Expenses+,491,628,618,658,737,872,858,692,"1,179","1,299","1,698","1,730","1,887"
Operating Profit,-6,-18,20,20,37,61,70,39,87,120,175,171,185
OPM %,-1%,-3%,3%,3%,5%,7%,8%,5%,7%,8%,9%,9%,9%
Other Income+,18,18,21,27,68,29,30,27,24,29,38,43,45
Interest,15,23,23,19,23,20,23,19,24,24,23,16,13
Depreciation,11,12,10,10,9,8,9,10,12,13,15,19,20
Profit before tax,-13,-34,7,18,73,62,69,37,75,111,174,179,196
Tax %,-16%,-1%,2%,20%,16%,33%,34%,29%,25%,25%,24%,25%,
Net Profit+,-11,-34,7,14,61,42,46,26,56,83,131,134,147
EPS in Rs,-9.99,-30.13,6.36,12.76,53.96,36.75,40.37,23.05,49.19,73.65,116.32,118.24,130.10
Dividend Payout %,0%,0%,0%,0%,2%,17%,15%,11%,30%,27%,30%,30%,
