Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,316,349,530,69,100,130,123,130,229,295,363,505,500
Expenses+,303,324,508,67,90,114,114,114,192,258,300,428,427
Operating Profit,13,25,22,2,10,16,9,17,37,37,63,77,72
OPM %,4%,7%,4%,3%,10%,12%,7%,13%,16%,13%,17%,15%,14%
Other Income+,21,0,3,2,1,3,2,2,3,7,3,8,7
Interest,6,10,14,11,10,11,10,10,9,8,8,11,12
Depreciation,4,5,7,7,7,7,8,8,9,7,6,10,10
Profit before tax,23,9,5,-14,-6,0,-6,0,23,29,53,63,57
Tax %,3%,36%,56%,-32%,-15%,109%,-24%,139%,26%,24%,24%,24%,
Net Profit+,22,6,2,-9,-5,-0,-5,-0,17,22,40,48,44
EPS in Rs,12.94,3.42,1.61,-5.48,-2.92,-0.02,-2.83,-0.08,9.88,12.75,23.52,28.23,25.18
Dividend Payout %,4%,29%,16%,0%,0%,0%,0%,0%,20%,20%,21%,14%,
