Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,933,870,758,841,"1,295","1,361","2,217","2,520","2,309"
Expenses+,491,461,432,487,749,886,"1,284","1,405","1,444"
Operating Profit,441,409,326,354,546,475,933,"1,115",865
OPM %,47%,47%,43%,42%,42%,35%,42%,44%,37%
Other Income+,14,6,134,27,22,10,14,48,139
Interest,145,115,103,50,102,77,150,183,182
Depreciation,37,42,55,46,63,67,114,55,61
Profit before tax,274,258,301,285,402,341,683,925,761
Tax %,34%,34%,22%,23%,24%,27%,25%,23%,
Net Profit+,181,171,234,220,306,250,513,713,586
EPS in Rs,96.47,91.58,7.32,7.27,10.07,8.19,16.64,22.98,18.87
Dividend Payout %,0%,0%,27%,14%,30%,37%,18%,13%,
