Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,124.58,169.83,175.09,167.61,112.83,179.08,289.61,136.15,94.81,146.52,43.39,78.65,315.01
Expenses+,79.62,90.22,39.63,77.43,44.85,108.44,214.94,73.77,63.11,72.50,38.61,46.47,292.26
Operating Profit,44.96,79.61,135.46,90.18,67.98,70.64,74.67,62.38,31.70,74.02,4.78,32.18,22.75
OPM %,36.09%,46.88%,77.37%,53.80%,60.25%,39.45%,25.78%,45.82%,33.44%,50.52%,11.02%,40.92%,7.22%
Other Income+,1.21,-9.73,4.38,6.68,2.66,9.51,37.13,10.60,4.77,3.67,57.08,35.37,2.40
Interest,11.84,12.16,7.16,9.20,8.18,7.43,6.33,6.01,5.49,5.36,4.57,4.45,4.24
Depreciation,15.79,21.79,22.56,20.06,18.37,21.33,20.27,18.47,17.58,19.86,21.71,18.36,16.94
Profit before tax,18.54,35.93,110.12,67.60,44.09,51.39,85.20,48.50,13.40,52.47,35.58,44.74,3.97
Tax %,4.48%,-3.90%,3.14%,2.28%,2.09%,9.38%,17.12%,13.59%,19.33%,17.44%,-43.82%,1.94%,28.72%
Net Profit+,17.71,37.34,106.65,66.07,43.18,46.57,70.61,41.92,10.81,43.32,51.16,43.87,2.83
EPS in Rs,1.34,2.82,8.06,5.00,3.27,3.52,5.34,3.17,0.82,3.28,3.87,3.32,0.21
Raw PDF,,,,,,,,,,,,,
