Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,153,166,199,197,178,185,233,283,298,325,335
Expenses+,123,129,165,173,160,158,199,242,246,266,276
Operating Profit,30,37,34,24,18,26,33,41,52,59,59
OPM %,20%,22%,17%,12%,10%,14%,14%,14%,17%,18%,18%
Other Income+,-2,1,0,2,0,6,0,1,0,-4,-4
Interest,0,0,0,0,0,0,0,0,0,0,0
Depreciation,7,8,9,9,10,9,9,9,10,10,11
Profit before tax,22,30,26,17,9,24,25,33,43,45,44
Tax %,15%,23%,11%,-5%,-20%,16%,13%,16%,19%,22%,
Net Profit+,19,23,23,18,10,20,22,27,34,35,34
EPS in Rs,12.61,15.68,15.58,11.88,7.09,13.35,14.63,18.60,23.30,23.70,22.88
Dividend Payout %,3%,1%,3%,17%,28%,15%,14%,11%,9%,8%,
