Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,67.00,60.29,62.72,61.57,79.63,167.51,197.36,8.16,8.23,6.00,2.01,0.34,0.25
Expenses+,60.90,53.80,56.83,56.12,74.22,160.83,191.66,6.92,7.85,5.47,6.40,1.23,1.15
Operating Profit,6.10,6.49,5.89,5.45,5.41,6.68,5.70,1.24,0.38,0.53,-4.39,-0.89,-0.90
OPM %,9.10%,10.76%,9.39%,8.85%,6.79%,3.99%,2.89%,15.20%,4.62%,8.83%,-218.41%,-261.76%,-360.00%
Other Income+,0.81,0.00,0.57,0.32,0.45,0.13,0.18,0.05,0.19,0.01,-1.98,0.06,0.02
Interest,3.72,3.52,3.42,2.94,3.49,3.22,3.21,0.87,0.81,0.40,0.48,0.00,0.01
Depreciation,1.51,1.64,1.65,1.70,1.69,1.75,1.96,0.29,0.29,0.25,0.23,0.01,0.00
Profit before tax,1.68,1.33,1.39,1.13,0.68,1.84,0.71,0.13,-0.53,-0.11,-7.08,-0.84,-0.89
Tax %,29.17%,32.33%,41.01%,55.75%,0.00%,30.43%,181.69%,-623.08%,-24.53%,-18.18%,13.56%,1.19%,
Net Profit+,1.19,0.90,0.83,0.50,0.68,1.28,-0.56,0.95,-0.40,-0.09,-8.04,-0.85,-0.92
EPS in Rs,0.70,0.53,0.49,0.30,0.40,0.76,-0.33,1.17,-0.49,-0.11,-9.89,-1.05,-1.14
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
