Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,402,508,568,543,554,660,451,348,423,527,616,691,729
Expenses+,365,444,493,484,493,563,415,358,439,487,544,581,618
Operating Profit,38,64,74,59,61,97,36,-10,-16,40,72,109,111
OPM %,9%,13%,13%,11%,11%,15%,8%,-3%,-4%,8%,12%,16%,15%
Other Income+,17,4,6,0,23,6,-1,-24,-93,-8,1,11,11
Interest,23,26,33,51,50,53,57,59,108,155,180,217,226
Depreciation,14,16,19,30,32,34,32,34,37,38,35,32,32
Profit before tax,18,26,28,-22,0,17,-54,-127,-254,-161,-141,-129,-135
Tax %,-2%,21%,19%,-38%,304%,103%,-8%,-3%,1%,19%,-4%,-2%,
Net Profit+,18,21,23,-14,-1,-1,-50,-123,-257,-192,-135,-126,-133
EPS in Rs,1.37,1.55,1.74,-0.65,0.28,0.23,-3.33,-8.98,-16.77,-11.40,-8.42,-7.86,-8.29
Dividend Payout %,39%,39%,46%,-100%,285%,427%,0%,0%,0%,0%,0%,0%,
