Metric,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,076","2,841","4,079","4,887","4,588","3,069","3,105","1,914","2,817","2,489","2,369","3,345","3,402"
Expenses+,"1,088","2,564","3,564","4,317","3,919","2,446","2,349","1,568","2,090","2,080","1,832","2,872","2,923"
Operating Profit,-12,277,515,569,669,623,756,346,727,409,537,473,479
OPM %,-1%,10%,13%,12%,15%,20%,24%,18%,26%,16%,23%,14%,14%
Other Income+,464,439,385,300,173,136,88,95,78,155,362,350,357
Interest,1,5,5,4,4,5,5,5,5,6,4,4,3
Depreciation,42,67,53,62,63,82,96,95,90,77,67,71,73
Profit before tax,409,644,841,803,774,671,742,341,710,482,828,749,761
Tax %,32%,31%,33%,35%,32%,37%,28%,24%,30%,27%,26%,27%,
Net Profit+,279,444,562,524,528,423,535,258,500,352,613,550,561
EPS in Rs,"1,212.13","1,928.48","2,810.35","2,183.58",14.41,11.53,14.59,7.03,13.64,9.61,16.71,14.99,15.29
Dividend Payout %,21%,19%,30%,30%,25%,30%,30%,52%,30%,49%,32%,31%,
