Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"5,294","6,051","6,586","7,189","7,910","10,429","11,995","12,382","11,419","12,828","15,963","18,519","19,699"
Interest,"2,281","2,643","2,868","3,186","3,436","4,432","5,391","5,308","4,417","5,094","6,959","8,415","8,870"
Expenses+,"1,532","1,972","2,459","3,123","2,547","3,129","4,903","6,046","5,347","4,696","6,204","6,832","7,305"
Financing Profit,"1,481","1,435","1,258",880,"1,927","2,868","1,702","1,028","1,655","3,038","2,799","3,271","3,524"
Financing Margin %,28%,24%,19%,12%,24%,28%,14%,8%,14%,24%,18%,18%,18%
Other Income+,7,10,12,12,33,49,47,57,47,-8,64,77,127
Depreciation,26,46,46,54,55,76,147,151,152,226,275,321,347
Profit before tax,"1,462","1,400","1,224",838,"1,905","2,841","1,602",934,"1,549","2,804","2,588","3,027","3,305"
Tax %,34%,34%,36%,37%,36%,34%,32%,16%,26%,26%,25%,25%,
Net Profit+,965,925,787,530,"1,216","1,867","1,086",780,"1,150","2,071","1,943","2,261","2,469"
EPS in Rs,7.46,7.13,6.03,4.00,8.53,13.15,7.73,5.56,8.18,14.91,13.90,16.27,17.75
Dividend Payout %,22%,25%,29%,27%,21%,22%,0%,13%,39%,36%,40%,35%,
