Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,27.44,29.28,23.31,18.28,20.49,24.17,30.01,40.49,40.18,40.04,39.78,51.47,48.77
Expenses+,19.12,22.20,15.71,15.13,19.92,17.90,22.20,25.26,31.64,28.47,30.72,37.56,38.68
Operating Profit,8.32,7.08,7.60,3.15,0.57,6.27,7.81,15.23,8.54,11.57,9.06,13.91,10.09
OPM %,30.32%,24.18%,32.60%,17.23%,2.78%,25.94%,26.02%,37.61%,21.25%,28.90%,22.78%,27.03%,20.69%
Other Income+,5.93,6.36,5.41,-39.28,7.29,6.30,8.55,7.21,12.60,31.85,37.52,28.66,25.86
Interest,5.45,4.53,5.10,4.38,10.52,13.88,14.21,16.55,13.94,14.83,16.55,17.32,16.28
Depreciation,3.86,3.45,3.72,3.69,6.37,6.89,8.45,8.77,8.41,8.16,8.76,8.41,8.04
Profit before tax,4.94,5.46,4.19,-44.20,-9.03,-8.20,-6.30,-2.88,-1.21,20.43,21.27,16.84,11.63
Tax %,26.32%,28.94%,-9.79%,-13.19%,-49.94%,-8.41%,-24.92%,-30.56%,14.05%,22.61%,34.23%,29.10%,32.85%
Net Profit+,3.65,3.88,4.60,-38.37,-4.51,-7.51,-4.73,-2.00,-1.38,15.82,13.99,11.94,7.82
EPS in Rs,,,,,0.01,-0.21,-0.10,0.11,0.13,1.23,1.08,0.71,0.45
Raw PDF,,,,,,,,,,,,,
