Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,43,73,52,32,35,4,17,176,172
Expenses+,0,40,72,50,33,34,5,16,169,165
Operating Profit,0,2,1,2,-0,1,-2,1,6,7
OPM %,,5%,1%,3%,-1%,4%,-55%,5%,4%,4%
Other Income+,0,1,1,0,1,1,1,1,4,4
Interest,0,1,2,1,1,1,0,0,1,1
Depreciation,0,0,0,0,0,0,0,1,0,0
Profit before tax,0,1,0,0,-0,1,-2,1,9,10
Tax %,,27%,28%,26%,-23%,25%,-26%,60%,22%,
Net Profit+,0,1,0,0,-0,1,-1,1,7,7
EPS in Rs,,0.02,0.01,0.00,-0.01,0.01,-0.02,0.01,0.05,0.04
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,
