Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,700","2,076","2,358","2,488","2,531","2,695","2,655","2,881","3,192","3,406","3,578","3,809","3,807"
Expenses+,"1,255","1,536","1,670","1,729","1,812","1,970","1,970","2,000","2,254","2,550","2,632","2,796","2,796"
Operating Profit,445,541,688,759,719,725,685,880,938,855,946,"1,014","1,011"
OPM %,26%,26%,29%,31%,28%,27%,26%,31%,29%,25%,26%,27%,27%
Other Income+,53,91,44,31,19,25,46,69,90,69,41,68,79
Interest,5,5,54,58,34,21,21,13,5,7,10,9,10
Depreciation,35,34,255,309,311,325,336,367,335,247,186,178,178
Profit before tax,457,592,423,424,393,403,374,569,688,670,791,894,902
Tax %,12%,18%,14%,20%,22%,25%,19%,20%,-22%,6%,8%,10%,
Net Profit+,402,485,363,340,306,303,302,455,837,627,724,803,816
EPS in Rs,8.87,10.70,8.00,7.50,6.77,6.68,6.67,10.23,19.02,14.50,16.58,18.48,18.74
Dividend Payout %,39%,33%,44%,47%,52%,60%,60%,78%,42%,55%,48%,54%,
