Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,757,826,806,988,10,10,16,127,214,264,286
Expenses+,0,747,802,783,893,11,20,35,143,211,217,224
Operating Profit,-0,10,24,23,95,-1,-10,-19,-16,3,47,62
OPM %,,1%,3%,3%,10%,-9%,-106%,-120%,-13%,1%,18%,22%
Other Income+,0,5,7,21,31,93,"3,156",5,12,18,21,24
Interest,0,4,8,5,4,0,0,0,9,26,29,31
Depreciation,0,18,17,18,20,1,1,3,38,73,82,94
Profit before tax,-0,-8,6,21,103,91,"3,146",-17,-51,-78,-44,-39
Tax %,0%,-195%,-21%,87%,30%,1%,23%,-21%,-21%,-15%,-7%,
Net Profit+,-0,7,7,3,72,90,"2,413",-13,-40,-66,-41,-37
EPS in Rs,,1.20,0.87,0.89,7.62,8.20,336.99,-1.56,-4.03,-19.14,-11.40,-7.24
Dividend Payout %,0%,0%,0%,45%,8%,10%,116%,0%,0%,0%,0%,
