Metric,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"7,848","6,220","3,656","3,225","3,565","3,875","1,815",353,69,31,32,25,22
Expenses+,"7,991","6,317","3,846","3,434","4,304","4,011","2,033",601,170,103,88,76,78
Operating Profit,-142,-97,-190,-208,-739,-137,-218,-248,-100,-71,-56,-51,-56
OPM %,-2%,-2%,-5%,-6%,-21%,-4%,-12%,-70%,-144%,-227%,-173%,-208%,-249%
Other Income+,186,130,138,135,99,140,243,113,143,37,42,31,37
Interest,177,155,135,152,141,123,90,56,16,4,2,1,0
Depreciation,52,52,32,31,27,12,9,4,1,1,1,0,0
Profit before tax,-186,-174,-219,-257,-809,-132,-74,-195,26,-39,-16,-21,-19
Tax %,15%,6%,-2%,-4%,1%,2%,84%,1%,5%,0%,0%,0%,
Net Profit+,-215,-185,-214,-248,-814,-135,-136,-197,25,-39,-16,-21,-19
EPS in Rs,-6.52,-5.61,-6.51,-7.53,-24.72,-4.11,-4.14,-5.98,0.74,-1.18,-0.48,-0.64,-0.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
