Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,356,373,411,801,926,"1,081","1,244","1,363"
Expenses+,315,322,356,704,813,927,"1,057","1,165"
Operating Profit,41,51,54,96,114,154,186,198
OPM %,11%,14%,13%,12%,12%,14%,15%,15%
Other Income+,0,1,1,3,9,12,12,16
Interest,6,5,4,6,20,21,2,10
Depreciation,11,10,6,8,11,16,25,37
Profit before tax,25,38,46,86,92,130,171,167
Tax %,20%,26%,26%,25%,26%,27%,25%,
Net Profit+,20,28,34,64,68,94,128,124
EPS in Rs,165.67,232.42,287.50,532.92,14.16,16.49,22.41,21.75
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
