Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,551,514,608,592,586,585,577,638,639,630,608,681,635
Expenses+,513,464,556,528,511,511,485,574,569,546,514,597,568
Operating Profit,39,50,52,65,75,74,91,64,70,84,95,83,67
OPM %,7%,10%,9%,11%,13%,13%,16%,10%,11%,13%,16%,12%,11%
Other Income+,8,3,17,10,13,11,18,12,11,9,18,9,11
Interest,4,5,5,6,5,5,6,6,5,9,6,7,7
Depreciation,14,14,14,15,14,14,15,14,14,15,16,14,16
Profit before tax,29,34,51,54,69,64,88,56,62,68,90,71,55
Tax %,37%,29%,51%,22%,31%,24%,31%,20%,30%,29%,35%,27%,31%
Net Profit+,34,35,43,56,63,66,73,63,61,62,74,67,55
EPS in Rs,2.05,2.11,2.61,3.35,3.73,3.90,4.31,3.73,3.66,3.77,4.39,4.03,3.31
Raw PDF,,,,,,,,,,,,,
