Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,482","2,602","2,738","3,091","2,985","3,462","4,647","4,397","4,317","4,142","4,075"
Expenses+,"2,075","2,039","2,253","2,487","2,536","2,472","3,624","4,105","3,732","3,666","3,596"
Operating Profit,407,563,484,604,448,990,"1,023",293,585,476,478
OPM %,16%,22%,18%,20%,15%,29%,22%,7%,14%,12%,12%
Other Income+,71,32,40,26,55,87,457,145,218,703,288
Interest,45,15,10,12,11,7,14,27,36,30,26
Depreciation,51,55,61,70,74,78,83,89,116,107,108
Profit before tax,383,525,454,548,418,992,"1,383",321,651,"1,043",632
Tax %,33%,32%,33%,33%,20%,26%,24%,22%,27%,23%,
Net Profit+,258,355,306,367,333,738,"1,051",251,474,800,480
EPS in Rs,4.15,5.72,4.94,5.92,5.36,11.89,16.94,4.04,7.63,12.89,7.74
Dividend Payout %,48%,40%,41%,34%,37%,34%,24%,37%,33%,28%,
