Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,450,471,532,632,662,825,808,652,859,"1,081","1,087","1,395","1,589"
Expenses+,386,403,447,528,555,691,724,547,707,935,929,"1,207","1,369"
Operating Profit,64,69,85,104,106,134,84,105,152,146,158,188,220
OPM %,14%,15%,16%,16%,16%,16%,10%,16%,18%,14%,15%,13%,14%
Other Income+,1,7,-12,21,16,3,13,1,9,20,16,12,16
Interest,36,31,25,18,29,6,23,14,12,19,19,33,40
Depreciation,18,20,20,19,22,22,30,32,35,36,38,43,46
Profit before tax,12,24,28,87,71,109,44,59,115,111,118,123,150
Tax %,46%,60%,33%,38%,33%,33%,-6%,27%,26%,26%,24%,23%,
Net Profit+,6,10,19,54,48,73,47,43,85,83,90,95,111
EPS in Rs,3.97,5.98,10.98,21.30,19.00,28.56,18.26,16.80,32.96,32.88,35.72,37.90,44.12
Dividend Payout %,0%,0%,0%,0%,3%,0%,0%,13%,0%,9%,0%,0%,
