Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,473","1,357","1,814","1,239","1,413","1,545","1,959","2,272","2,692","3,305"
Expenses+,"1,365","1,300","1,868","1,227","1,224","1,362","1,730","1,986","2,379","2,933"
Operating Profit,108,56,-54,13,189,183,229,285,313,372
OPM %,7%,4%,-3%,1%,13%,12%,12%,13%,12%,11%
Other Income+,10,5,13,15,22,7,14,1,17,14
Interest,19,14,38,34,43,27,18,18,13,21
Depreciation,73,74,94,96,94,82,78,82,90,107
Profit before tax,26,-26,-173,-102,74,80,147,186,227,258
Tax %,65%,85%,1%,-3%,44%,36%,15%,24%,26%,
Net Profit+,9,-49,-174,-99,42,51,125,141,167,190
EPS in Rs,0.76,-4.02,-14.26,-8.10,3.40,4.19,10.23,11.54,13.70,15.61
Dividend Payout %,103%,-19%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
