Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,141,186,133,140,165,193,169,208,367,519,542,552
Expenses+,133,178,121,130,153,185,164,196,350,495,523,534
Operating Profit,8,8,12,10,11,8,5,12,17,25,19,19
OPM %,6%,4%,9%,7%,7%,4%,3%,6%,5%,5%,4%,3%
Other Income+,1,-4,6,10,14,15,13,13,20,10,10,12
Interest,1,1,1,1,0,2,2,3,6,8,8,7
Depreciation,1,1,1,1,1,3,5,5,6,8,9,10
Profit before tax,7,2,16,18,24,19,11,18,25,19,12,13
Tax %,35%,52%,23%,18%,15%,17%,13%,16%,32%,42%,36%,
Net Profit+,4,1,12,15,21,15,10,15,17,11,8,10
EPS in Rs,17.00,3.73,46.58,58.50,79.06,58.91,36.80,56.95,65.07,42.57,29.69,39.19
Dividend Payout %,9%,40%,3%,4%,4%,3%,3%,3%,2%,5%,8%,
