Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,252,344,304,352,461,426,401,442,412
Expenses+,242,329,309,343,450,419,395,428,399
Operating Profit,11,14,-5,9,11,8,6,14,14
OPM %,4%,4%,-2%,3%,2%,2%,2%,3%,3%
Other Income+,0,0,1,1,1,1,3,1,3
Interest,3,4,5,4,4,5,6,7,7
Depreciation,1,1,1,2,3,3,2,2,2
Profit before tax,8,10,-10,3,5,0,0,6,7
Tax %,32%,18%,-1%,40%,36%,208%,-13%,41%,
Net Profit+,5,8,-10,2,3,-0,0,4,5
EPS in Rs,1.20,1.74,-2.22,0.45,0.64,-0.09,0.04,0.81,1.02
Dividend Payout %,0%,1%,0%,0%,4%,0%,0%,0%,
