Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,200,212,224,239,253,295,304,380,449,486,493,589,583
Expenses+,167,175,186,192,195,236,243,268,334,382,373,426,438
Operating Profit,33,37,38,48,58,59,61,113,115,105,120,163,145
OPM %,17%,17%,17%,20%,23%,20%,20%,30%,26%,22%,24%,28%,25%
Other Income+,4,3,3,6,5,7,7,4,8,13,19,17,33
Interest,17,20,19,16,14,12,12,9,8,8,6,4,3
Depreciation,14,13,13,13,15,16,19,20,21,23,23,24,23
Profit before tax,7,6,10,24,34,38,37,87,95,87,111,153,152
Tax %,-15%,40%,33%,34%,33%,25%,19%,26%,27%,25%,25%,26%,
Net Profit+,8,4,7,16,23,29,30,65,69,65,83,113,113
EPS in Rs,5.52,2.87,4.80,11.93,16.56,20.97,22.19,47.63,50.52,47.57,60.91,82.85,83.15
Dividend Payout %,27%,35%,31%,17%,15%,13%,9%,10%,12%,13%,11%,11%,
