Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,236,261,279,287,333,319,244,248,248,279,332,402,417
Expenses+,88,101,105,105,122,144,162,153,168,180,220,247,256
Operating Profit,148,160,174,182,211,175,81,96,80,99,112,155,161
OPM %,63%,61%,62%,63%,63%,55%,33%,39%,32%,36%,34%,39%,39%
Other Income+,36,44,9,34,25,30,31,31,27,38,47,51,53
Interest,0,1,0,0,0,0,1,1,0,1,2,2,2
Depreciation,3,5,4,3,3,3,8,8,8,11,10,12,12
Profit before tax,181,197,178,212,233,202,104,119,99,126,147,192,199
Tax %,28%,30%,33%,31%,30%,32%,20%,23%,22%,32%,30%,27%,
Net Profit+,130,138,120,148,162,138,83,91,77,85,103,140,145
EPS in Rs,44.63,47.53,40.68,50.13,55.13,46.66,27.96,30.39,25.34,28.12,33.67,45.85,47.55
Dividend Payout %,63%,166%,69%,56%,100%,64%,70%,56%,67%,89%,53%,39%,
