Metric,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,100","1,280","2,169","2,555","3,044","3,520","3,479","3,375","3,615","3,597"
Expenses+,999,"1,132","1,925","2,317","2,634","3,129","3,255","3,249","3,555","3,545"
Operating Profit,100,148,244,238,410,391,224,125,60,52
OPM %,9%,12%,11%,9%,13%,11%,6%,4%,2%,1%
Other Income+,9,23,12,32,64,33,24,65,108,47
Interest,9,4,25,39,28,13,20,35,68,66
Depreciation,40,47,68,97,109,116,111,120,144,147
Profit before tax,60,120,163,134,337,295,117,36,-43,-114
Tax %,33%,33%,38%,21%,23%,29%,17%,2%,-24%,
Net Profit+,40,81,101,106,260,210,97,35,-33,-104
EPS in Rs,53.53,108.21,135.72,141.68,346.68,280.07,128.82,46.14,-43.63,-138.41
Dividend Payout %,33%,21%,18%,14%,12%,23%,35%,82%,-69%,
