Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,862","7,851","8,011","9,221","6,794","7,142","7,369","5,073","8,010","8,382","7,738","8,329","8,687"
Expenses+,"5,927","6,816","7,037","8,261","6,103","6,419","6,661","4,595","7,180","7,554","6,858","7,433","7,782"
Operating Profit,935,"1,036",974,960,691,723,708,478,830,828,879,895,905
OPM %,14%,13%,12%,10%,10%,10%,10%,9%,10%,10%,11%,11%,10%
Other Income+,52,39,89,66,109,39,5,15,13,100,42,65,65
Interest,354,417,383,312,192,236,255,239,197,192,193,208,169
Depreciation,225,212,239,294,222,235,290,285,254,253,266,259,272
Profit before tax,407,445,441,420,385,290,168,-31,393,484,463,493,529
Tax %,13%,24%,28%,24%,18%,21%,45%,-11%,38%,15%,24%,25%,
Net Profit+,353,338,316,321,316,228,92,-27,242,413,353,367,422
EPS in Rs,13.71,13.21,12.17,12.18,11.97,8.75,3.70,-0.64,9.14,15.47,12.87,13.50,15.69
Dividend Payout %,17%,19%,20%,20%,20%,23%,0%,0%,0%,37%,37%,28%,
