Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,225,269,253,265,247,446,648,652,740,782,883
Expenses+,212,256,238,242,221,413,613,619,689,728,803
Operating Profit,12,14,15,22,26,33,35,33,51,54,80
OPM %,5%,5%,6%,8%,10%,7%,5%,5%,7%,7%,9%
Other Income+,4,2,3,4,1,3,9,10,6,9,12
Interest,4,4,6,14,17,19,23,22,33,33,32
Depreciation,10,8,8,10,9,9,9,9,9,9,9
Profit before tax,3,3,4,2,1,8,11,12,15,21,51
Tax %,-14%,78%,51%,120%,-250%,22%,24%,20%,25%,25%,
Net Profit+,3,1,2,-0,3,6,9,9,11,15,38
EPS in Rs,0.44,0.10,0.30,-0.06,0.43,0.89,1.32,1.43,1.51,1.94,3.96
Dividend Payout %,0%,0%,0%,0%,0%,3%,0%,2%,3%,3%,
