Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,747,791,755,847,819,843,"1,047","1,222","1,222","1,294","1,213","1,357","1,377"
Expenses+,581,617,604,721,665,697,917,"1,006","1,026","1,081","1,027","1,151","1,185"
Operating Profit,166,174,151,126,154,146,130,216,196,213,186,206,192
OPM %,22%,22%,20%,15%,19%,17%,12%,18%,16%,16%,15%,15%,14%
Other Income+,-7,-1,11,7,-7,5,14,10,5,9,13,13,3
Interest,35,38,42,40,42,48,57,63,65,67,70,67,69
Depreciation,66,71,78,80,86,93,126,132,139,147,152,150,155
Profit before tax,59,65,41,13,19,10,-38,31,-4,9,-22,3,-29
Tax %,3%,-10%,-45%,112%,-88%,48%,29%,27%,26%,190%,-25%,19%,-18%
Net Profit+,57,71,60,-2,36,5,-49,22,-5,-8,-17,2,-24
EPS in Rs,0.49,0.59,0.50,0.10,0.28,0.08,-0.06,0.25,0.00,-0.00,-0.12,0.03,-0.18
Raw PDF,,,,,,,,,,,,,
