Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,254","1,258","3,799","5,892","4,941","3,923","4,346","4,301"
Expenses+,969,"1,011","3,171","4,695","4,473","3,902","4,127","4,189"
Operating Profit,286,247,628,"1,197",468,21,219,112
OPM %,23%,20%,17%,20%,9%,1%,5%,3%
Other Income+,12,8,484,57,-1,85,47,45
Interest,48,95,433,322,154,181,236,236
Depreciation,56,87,131,137,142,151,199,207
Profit before tax,193,72,547,796,172,-226,-169,-288
Tax %,39%,36%,25%,18%,11%,-30%,-35%,
Net Profit+,118,46,410,649,152,-158,-110,-198
EPS in Rs,14.81,6.88,30.59,41.03,9.64,-10.02,-6.98,-12.56
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
