Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,36,77,108,142,142,216,330,395,423
Expenses+,34,70,96,128,128,189,305,363,381
Operating Profit,2,7,12,15,15,27,24,32,42
OPM %,6%,9%,11%,10%,10%,12%,7%,8%,10%
Other Income+,0,1,1,1,1,1,1,2,1
Interest,4,5,7,7,7,7,8,10,11
Depreciation,1,1,2,2,3,4,4,5,7
Profit before tax,-2,1,4,6,6,17,14,20,25
Tax %,9%,9%,3%,37%,37%,24%,26%,27%,26%
Net Profit+,-2,1,4,4,4,13,10,15,18
EPS in Rs,-23.30,2.70,2.50,2.21,2.01,5.34,4.11,5.96,7.52
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%
