Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,601,531,626,"1,032","1,225","1,104","1,292","1,394","1,363","1,222","1,398","1,324"
Expenses+,576,494,563,877,"1,146","1,018",845,931,"1,186","1,010","1,183","1,122"
Operating Profit,25,37,63,154,79,86,447,463,177,212,215,202
OPM %,4%,7%,10%,15%,6%,8%,35%,33%,13%,17%,15%,15%
Other Income+,2,3,8,14,8,6,11,20,30,40,38,35
Interest,14,11,10,8,1,0,1,0,1,0,0,0
Depreciation,5,6,5,6,7,10,10,10,10,10,9,9
Profit before tax,8,23,57,155,78,83,446,473,196,242,244,227
Tax %,40%,29%,37%,35%,40%,19%,25%,26%,30%,26%,26%,
Net Profit+,5,16,35,100,47,67,334,350,137,179,180,167
EPS in Rs,0.20,0.65,1.42,4.02,1.90,2.69,13.42,14.06,5.49,7.21,7.23,6.70
Dividend Payout %,34%,10%,9%,5%,18%,12%,5%,14%,206%,56%,55%,
