Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,26.71,35.69,59.08,42.61,64.00,89.10,89.31
Expenses+,23.46,32.47,56.00,37.45,58.02,79.76,77.97
Operating Profit,3.25,3.22,3.08,5.16,5.98,9.34,11.34
OPM %,12.17%,9.02%,5.21%,12.11%,9.34%,10.48%,12.70%
Other Income+,0.75,0.29,0.30,0.21,0.09,0.66,1.43
Interest,0.26,0.22,0.23,0.62,0.76,2.36,2.67
Depreciation,0.02,0.01,0.11,0.20,0.23,0.33,0.32
Profit before tax,3.72,3.28,3.04,4.55,5.08,7.31,9.78
Tax %,3.49%,24.09%,-6.25%,28.57%,30.31%,32.69%,
Net Profit+,3.59,2.49,3.23,3.26,3.54,4.92,7.00
EPS in Rs,0.90,0.14,0.18,0.18,0.19,0.27,0.35
Dividend Payout %,0.00%,5.02%,0.00%,19.17%,18.44%,0.00%,
