Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,374","1,719","1,875","1,696","3,038","4,378","4,475","5,000","5,466"
Expenses+,"1,008","1,264","1,280",991,"2,265","3,508","3,371","3,862","4,346"
Operating Profit,366,455,595,704,773,870,"1,104","1,137","1,120"
OPM %,27%,26%,32%,42%,25%,20%,25%,23%,20%
Other Income+,80,59,44,30,46,54,62,42,46
Interest,125,90,41,40,53,78,111,101,105
Depreciation,61,67,51,63,83,113,158,204,224
Profit before tax,259,357,547,631,684,733,896,875,837
Tax %,36%,36%,20%,25%,26%,25%,26%,25%,
Net Profit+,162,229,436,463,509,546,668,654,626
EPS in Rs,6.31,2.08,3.97,4.21,4.63,4.97,6.07,5.95,5.69
Dividend Payout %,-0%,12%,6%,6%,5%,5%,4%,4%,
